Index,Station code,Station name,اسم المحطة,Metro line number,Metro line name,اسم مسار القطار,Station type code,Station type,نوع المحطة,Sequence of the stops,Comments,التعليقات,Geographical coordinates,geo_point_2d
11,S49,Al Hilla,الحلة,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,51,,,"{""coordinates"": [46.72092052341459, 24.63174974583536], ""type"": ""Point""}","24.63174974583536, 46.72092052341459"
79,S53,Railway,سكة الحديد,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,55,,,"{""coordinates"": [46.74124333488783, 24.64923336622137], ""type"": ""Point""}","24.64923336622137, 46.74124333488783"
46,S55,Jarir District,حي جرير,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,57,,,"{""coordinates"": [46.76052059417431, 24.67297035932004], ""type"": ""Point""}","24.67297035932004, 46.76052059417431"
45,S59,Hassan Bin Thabit street,شارع حسان بن ثابت,Line3,Orange line,المسار البرتقالي,3,Shallow Underground,تحت الأرض على عمق ضحل,61,"Modification on the 26.03.2025, the English name of the station has been changed from ""Hassan Bin Thabit st."" to ""Hassan Bin Thabit street"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Hassan Bin Thabit st."" إلى ""Hassan Bin Thabit street"".","{""coordinates"": [46.84810909256966, 24.71315305285557], ""type"": ""Point""}","24.71315305285557, 46.84810909256966"
30,S61,Ar Rabi,الربيع,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,64,,,"{""coordinates"": [46.66057921262878, 24.78629157966825], ""type"": ""Point""}","24.78629157966825, 46.66057921262878"
82,S63,SABIC,سابك,Line4,Yellow line,المسار الأصفر,3,Shallow Underground,تحت الأرض على عمق ضحل,66,,,"{""coordinates"": [46.7097506102494, 24.80723540035193], ""type"": ""Point""}","24.80723540035193, 46.7097506102494"
75,S65,PNU2,جامعة الأميرة نورة 2,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,68,"Modification on the 26.03.2025, the English name of the station has been changed from ""Princess Nourah University 2"" to ""PNU2"".",تعديل في 26.03.2025، تم تغيير اسم المحطة باللغة الإنجليزية من ”Princess Nourah University 2“ إلى ”PNU2“.,"{""coordinates"": [46.70431707873432, 24.85983420999368], ""type"": ""Point""}","24.85983420999368, 46.70431707873432"
93,S66,Airport T5,الصالة 5,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,69,"Modification on 26.03.2025, the English name of the station has been changed from ""Terminal 5"" to ""Airport T5"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Terminal 5"" إلى ""Airport T5"".","{""coordinates"": [46.70826370485601, 24.94295453599951], ""type"": ""Point""}","24.94295453599951, 46.70826370485601"
91,S67,Airport T3-4,الصالة 3-4,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,70,"Modification on 26.03.2025, the English name of the station has been changed from ""Terminal 3-4"" to ""Airport T3-4"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Terminal 3-4"" إلى ""Airport T3-4"".","{""coordinates"": [46.70322082727486, 24.95629864361232], ""type"": ""Point""}","24.95629864361232, 46.70322082727486"
67,S69,Ministry of Finance,وزارة المالية,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,73,"Modification on the 26.03.2025, the English name of the station has been changed from ""MOF"" to ""Ministry of Finance"".",تعديل في 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ”MOF“ إلى ”Ministry of Finance“.,"{""coordinates"": [46.71573060418663, 24.65127908328224], ""type"": ""Point""}","24.65127908328224, 46.71573060418663"
